STEP	C1	C2	C3	C4	C5	C6	C7	C8	
1	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	
2	1.3	1.3	1.3	2.3	1.3	1.3	1.3	1.3	
3	1.1	1.3	2.3	2.2	1.1	1.1	1.1	1.1	
4	1.1	1.3	2.3	3.2	1.1	1.1	1.1	1.1	
5	1.1	1.3	2.3	3.2	1.1	1.1	1.1	1.1	
6	1.1	1.3	2.2	3.1	1.1	1.1	1.1	1.1	
7	2.0	1.3	2.1	5.0	1.0	1.0	1.0	1.0	
8	2.0	1.3	2.0	5.0	0.9	0.9	1.0	1.0	
9	3.0	1.3	2.0	5.0	0.9	0.9	1.0	1.0	
10	3.0	1.3	2.0	5.0	0.9	0.9	1.0	1.0	
11	2.9	1.3	1.9	5.0	0.9	0.9	1.0	1.0	
12	2.9	1.3	1.9	5.0	0.9	0.9	1.0	1.0	
13	2.9	1.3	1.9	5.0	0.8	0.9	1.0	1.0	
14	3.9	1.3	1.9	5.0	0.8	0.9	1.0	1.0	
15	3.8	1.3	1.8	5.0	0.8	0.9	0.9	0.9	
16	4.7	1.3	1.7	4.9	0.8	0.9	0.9	0.9	
17	5.0	1.3	1.7	4.9	0.8	0.9	0.9	0.9	
18	4.9	1.3	1.6	5.0	0.8	0.9	0.9	0.9	
19	5.0	1.3	2.6	5.0	0.8	0.9	0.9	0.9	
20	5.0	1.3	2.6	4.9	0.8	0.9	0.9	0.9	
21	4.9	1.3	2.5	4.8	0.8	0.9	0.9	0.9	
22	4.9	1.3	2.5	4.7	0.8	0.9	0.9	0.9	
23	4.9	1.3	2.3	5.0	0.8	0.9	0.9	0.9	
24	4.9	1.3	2.3	5.0	0.8	0.9	0.9	0.9	
25	4.9	1.3	2.3	5.0	0.8	0.9	0.9	0.9	
26	4.8	1.3	2.2	4.9	0.8	0.9	0.9	0.9	
27	5.0	1.3	2.2	5.0	0.8	0.9	0.9	0.9	
28	5.0	1.3	2.2	5.0	0.8	0.9	0.9	0.9	
29	4.9	1.3	2.2	5.0	0.8	0.9	0.9	0.9	
30	5.0	1.3	2.2	4.9	0.8	0.9	0.9	0.9	
31	4.9	1.3	2.1	4.9	0.8	0.9	0.9	0.9	
32	5.0	1.3	2.0	4.8	0.8	0.9	0.9	0.9	
33	5.0	1.3	1.9	4.7	0.8	0.9	0.9	0.9	
34	4.9	1.3	1.9	5.0	0.8	0.9	0.9	0.9	
35	4.9	1.3	1.9	5.0	0.8	0.9	0.9	0.9	
36	4.8	1.3	2.8	4.8	0.8	0.9	0.9	0.9	
37	5.0	1.3	2.8	4.8	0.8	0.9	0.9	0.9	
38	5.0	1.3	2.7	5.0	0.8	0.9	0.9	0.9	
39	5.0	1.3	2.6	5.0	0.8	0.9	0.9	0.9	
40	5.0	1.3	2.6	5.0	0.8	0.9	0.9	0.9	
41	4.9	1.3	2.5	4.9	0.8	0.9	0.9	0.9	
42	4.9	1.3	2.5	5.0	0.8	0.9	0.9	0.9	
43	4.9	1.3	2.4	5.0	0.8	0.9	0.9	0.9	
44	4.9	1.3	2.4	5.0	0.8	0.9	0.9	0.9	
45	4.9	1.3	2.4	4.9	0.8	0.9	0.9	0.9	
46	5.0	1.3	2.4	4.8	0.8	0.9	0.9	0.9	
47	5.0	1.3	2.3	4.7	0.8	0.9	0.9	0.9	
48	5.0	1.3	2.3	4.7	0.8	0.9	0.9	0.9	
49	5.0	1.3	3.3	4.6	0.8	0.9	0.9	0.9	
50	4.8	1.3	3.1	4.5	0.8	0.9	0.9	0.9	
51	5.0	1.3	3.1	4.5	0.8	0.9	0.9	0.9	
52	5.0	1.3	4.0	5.0	0.8	0.9	0.9	0.9	
53	4.9	1.3	4.0	5.0	0.8	0.9	0.9	0.9	
54	4.9	1.3	4.0	5.0	0.8	0.9	0.9	0.9	
55	4.9	1.3	3.9	5.0	0.8	0.9	0.9	0.9	
56	4.8	1.3	4.9	4.9	0.8	0.9	0.9	0.9	
57	5.0	1.3	4.9	4.9	0.8	0.9	0.9	0.9	
58	5.0	1.3	4.8	4.8	0.8	0.9	0.9	0.9	
59	5.0	1.3	5.0	4.8	0.8	0.9	0.9	0.9	
60	5.0	1.3	4.9	5.0	0.8	0.9	0.9	0.9	
61	4.9	1.3	4.8	5.0	0.8	0.9	0.9	0.9	
62	4.7	1.3	4.8	5.0	0.8	0.9	0.9	0.9	
63	5.0	1.3	4.7	5.0	0.8	0.8	0.8	0.8	
64	5.0	1.3	4.7	5.0	0.8	0.8	0.8	0.8	
65	5.0	1.3	4.7	5.0	0.8	0.8	0.8	0.8	
66	4.8	1.3	4.6	4.8	0.8	0.8	0.8	0.8	
67	5.0	1.3	4.6	4.7	0.8	0.8	0.8	0.8	
68	5.0	1.3	5.0	4.6	0.8	0.8	0.8	0.8	
69	5.0	1.3	5.0	4.6	0.8	0.8	0.8	0.8	
