STEP	C1	C2	C3	C4	C5	C6	C7	C8	
1	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	
2	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	
3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	
4	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	
5	1.2	1.2	1.3	1.2	2.3	1.2	1.2	1.2	
6	1.1	1.1	1.3	2.2	2.2	1.1	1.1	1.1	
7	1.1	1.1	1.3	3.2	2.2	1.1	1.1	1.1	
8	1.1	1.1	1.3	3.2	2.1	1.1	1.1	1.1	
9	1.1	1.1	1.3	3.2	2.1	1.1	1.1	1.1	
10	1.1	1.1	1.3	3.2	2.1	1.1	1.1	1.1	
11	1.1	1.1	1.3	3.2	3.1	1.1	1.1	1.1	
12	1.1	1.1	1.3	3.2	4.1	1.1	1.1	1.1	
13	1.1	1.1	1.3	3.1	4.1	1.1	1.1	1.1	
14	1.0	1.1	1.3	3.0	4.1	1.1	1.1	1.0	
15	1.0	1.0	1.3	3.0	4.0	1.0	1.0	1.0	
16	1.0	1.0	1.3	3.0	4.0	1.0	1.0	1.0	
17	1.0	1.0	1.3	3.0	4.0	1.0	1.0	1.0	
18	1.0	1.0	1.3	2.9	3.9	1.0	1.0	1.0	
19	1.0	1.0	1.3	2.9	4.9	1.0	1.0	1.0	
20	1.0	1.0	1.3	2.9	4.9	1.0	1.0	1.0	
21	1.0	1.0	1.3	2.8	4.8	1.0	1.0	1.0	
22	1.0	1.0	1.3	3.8	4.7	1.0	1.0	1.0	
23	1.0	1.0	1.3	3.8	5.0	1.0	1.0	1.0	
24	1.0	1.0	1.3	4.8	5.0	1.0	1.0	1.0	
25	1.0	1.0	1.3	4.8	5.0	1.0	1.0	1.0	
26	1.0	1.0	1.3	4.8	5.0	1.0	1.0	1.0	
27	1.0	1.0	1.3	4.8	5.0	1.0	1.0	1.0	
28	1.0	1.0	1.3	4.7	5.0	1.0	1.0	1.0	
29	1.0	1.0	1.3	4.6	5.0	1.0	1.0	1.0	
30	1.0	1.0	1.3	4.6	5.0	1.0	1.0	1.0	
31	0.9	2.0	1.3	4.5	5.0	1.0	1.0	1.0	
32	0.9	2.0	1.3	4.5	5.0	1.0	1.0	1.0	
33	0.9	1.9	1.3	4.5	5.0	1.0	1.0	1.0	
34	0.9	1.8	1.3	4.4	4.9	1.0	1.0	1.0	
35	0.9	1.8	1.3	4.3	4.9	1.0	1.0	1.0	
36	0.9	1.7	1.3	4.2	4.8	1.0	1.0	1.0	
37	0.9	1.7	1.3	4.2	5.0	1.0	1.0	1.0	
38	0.9	1.7	1.3	4.2	5.0	1.0	1.0	1.0	
