STEP	C1	C2	C3	C4	C5	C6	C7	C8	
1	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	
2	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	
3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	
4	1.2	1.2	1.2	1.3	1.2	1.2	1.2	1.2	
5	1.2	1.2	1.2	1.3	1.2	1.2	1.2	1.2	
6	1.1	2.2	1.1	1.3	1.1	1.1	1.1	1.1	
7	1.0	2.0	1.0	1.3	1.0	1.0	1.0	1.0	
8	1.0	2.0	1.0	1.3	1.0	1.0	1.0	1.0	
9	1.0	1.9	0.9	1.3	2.0	1.0	1.0	1.0	
10	1.0	1.9	0.9	1.3	2.0	1.0	1.0	1.0	
11	1.0	1.8	0.9	1.3	2.9	1.0	1.0	1.0	
12	1.0	1.7	0.9	1.3	2.8	1.0	1.0	1.0	
13	0.9	2.7	0.9	1.3	2.8	1.0	1.0	1.0	
14	0.8	2.5	1.9	1.3	2.7	0.9	0.9	0.9	
15	0.8	2.5	1.9	1.3	2.7	0.9	0.9	0.9	
16	0.8	3.4	1.8	1.3	2.6	0.9	0.9	0.9	
17	0.8	3.3	1.8	1.3	2.6	0.9	0.9	0.9	
18	0.8	3.2	2.7	1.3	2.5	0.9	0.9	0.9	
19	0.8	3.2	2.7	1.3	2.5	0.9	0.9	0.9	
20	0.8	3.1	2.6	1.3	2.4	0.9	0.9	0.9	
21	0.8	3.1	3.5	1.3	2.4	0.9	0.9	0.9	
22	0.8	3.1	3.5	1.3	2.3	0.9	0.9	0.9	
23	0.8	3.1	3.5	1.3	2.2	0.9	0.9	0.9	
24	0.8	3.0	3.4	1.3	2.1	0.9	0.9	0.9	
25	0.8	3.0	3.3	1.3	2.1	0.9	0.9	0.9	
26	0.8	4.0	3.2	1.3	3.1	0.9	0.9	0.9	
27	0.8	3.8	3.1	1.3	4.0	0.9	0.9	0.9	
28	0.8	3.8	3.1	1.3	4.0	0.9	0.9	0.9	
29	0.8	4.7	3.0	1.3	3.9	0.9	0.9	0.9	
30	0.8	4.5	2.9	1.3	3.9	0.9	0.9	0.9	
31	0.8	4.5	2.9	1.3	3.8	0.9	0.9	0.9	
32	0.8	4.5	2.9	1.3	3.7	0.8	0.8	0.8	
33	0.8	4.4	3.9	1.3	3.6	0.8	0.8	0.8	
34	0.8	4.3	3.8	1.3	3.5	0.8	0.8	0.8	
35	0.8	5.0	3.8	1.3	3.5	0.8	0.8	0.8	
36	0.8	4.9	3.7	1.3	3.5	0.8	0.8	0.8	
37	0.8	4.8	3.7	1.3	3.5	0.8	0.8	0.8	
38	0.8	4.8	3.7	1.3	3.5	0.8	0.8	0.8	
