STEP	C1	C2	C3	C4	C5	C6	C7	C8	
1	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	
2	1.3	1.3	1.3	1.3	1.3	1.2	2.3	1.2	
3	1.2	1.2	1.2	1.2	1.3	1.2	2.3	1.2	
4	1.2	1.2	1.2	1.2	1.3	1.2	2.2	1.2	
5	1.1	1.1	1.1	1.1	1.3	2.2	2.1	1.1	
6	1.1	1.1	1.1	1.1	1.3	3.2	2.1	1.1	
7	1.1	1.1	1.1	1.1	1.3	3.2	2.1	1.1	
8	1.0	1.0	1.0	1.0	1.3	3.0	2.0	2.1	
9	1.0	1.0	1.0	1.0	1.3	3.0	2.0	2.1	
10	1.0	1.0	1.0	1.0	1.3	4.0	2.0	2.1	
11	1.0	1.0	1.0	1.0	1.3	4.0	2.0	2.1	
12	1.0	1.0	1.0	1.0	1.3	4.0	2.0	2.0	
13	1.0	1.0	1.0	1.0	1.3	3.9	1.9	1.9	
14	1.0	1.0	1.0	1.0	1.3	3.9	1.9	1.9	
15	1.0	1.0	1.0	1.0	1.3	3.9	1.9	1.9	
16	1.0	1.0	1.0	1.0	1.3	4.9	1.9	1.9	
17	1.0	1.0	1.0	1.0	1.3	4.9	1.9	1.9	
18	1.0	1.0	1.0	1.0	1.3	4.9	1.9	1.9	
19	1.0	1.0	1.0	1.0	1.3	4.8	1.8	1.8	
20	1.0	1.0	1.0	1.0	1.3	4.7	1.7	1.7	
21	1.0	1.0	1.0	1.0	1.3	4.6	2.7	1.7	
22	1.0	1.0	1.0	1.0	1.3	5.0	2.7	1.6	
23	1.0	1.0	1.0	1.0	1.3	5.0	2.6	1.6	
24	1.0	1.0	1.0	1.0	1.3	5.0	2.6	1.5	
25	1.0	1.0	1.0	1.0	1.3	4.9	2.5	1.5	
26	1.0	1.0	1.0	1.0	1.3	4.9	2.5	1.5	
27	1.0	1.0	1.0	1.0	1.3	5.0	2.4	2.5	
28	1.0	1.0	1.0	1.0	1.3	5.0	2.4	2.5	
29	1.0	1.0	1.0	1.0	1.3	5.0	2.4	2.5	
30	1.0	1.0	1.0	1.0	1.3	4.9	2.3	2.4	
31	1.0	1.0	1.0	1.0	1.3	4.9	2.3	2.3	
32	1.0	1.0	1.0	1.0	1.3	4.9	2.3	2.3	
33	1.0	1.0	1.0	1.0	1.3	5.0	2.3	2.3	
34	1.0	1.0	1.0	1.0	1.3	5.0	2.3	2.3	
