STEP	C1	C2	C3	C4	C5	C6	C7	C8	
1	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	
2	1.3	1.2	1.2	1.3	1.2	1.2	2.3	1.2	
3	1.2	1.2	1.2	1.3	1.2	1.2	2.3	1.2	
4	1.1	1.1	1.1	1.3	1.1	1.1	3.2	1.1	
5	1.1	1.1	1.1	1.3	1.1	1.1	3.2	1.1	
6	2.1	1.0	1.0	1.3	1.0	1.0	3.0	1.0	
7	2.1	1.0	1.0	1.3	1.0	1.0	3.0	1.0	
8	2.0	1.0	1.0	1.3	1.0	1.0	3.0	1.0	
9	2.0	1.0	1.0	1.3	1.0	1.0	3.0	1.0	
10	1.9	1.0	1.0	1.3	1.0	1.0	2.9	1.0	
11	1.9	1.0	1.0	1.3	1.0	1.0	2.9	1.0	
12	1.9	1.0	1.0	1.3	1.0	1.0	2.9	1.0	
13	1.9	1.0	1.0	1.3	1.0	1.0	3.9	1.0	
14	1.9	1.0	1.0	1.3	1.0	1.0	3.9	1.0	
15	1.9	1.0	1.0	1.3	1.0	1.0	3.8	1.0	
16	1.8	1.0	1.0	1.3	1.0	1.0	3.8	1.0	
17	1.8	1.0	1.0	1.3	1.0	1.0	3.7	1.0	
18	1.8	1.0	1.0	1.3	1.0	1.0	3.7	1.0	
19	1.7	1.0	1.0	1.3	1.0	1.0	3.7	1.0	
20	1.7	1.0	1.0	1.3	1.0	1.0	3.7	1.0	
21	1.6	1.0	1.0	1.3	1.0	1.0	3.7	1.0	
22	1.5	1.0	1.0	1.3	1.0	1.0	3.6	1.0	
23	1.5	1.0	1.0	1.3	1.0	1.0	4.5	1.0	
24	1.5	1.0	1.0	1.3	1.0	1.0	5.0	1.0	
25	2.5	1.0	1.0	1.3	1.0	1.0	4.9	1.0	
26	2.5	1.0	1.0	1.3	1.0	1.0	4.8	1.0	
27	2.4	1.0	1.0	1.3	1.0	1.0	4.8	1.0	
28	2.4	1.0	1.0	1.3	1.0	1.0	4.8	1.0	
29	2.3	1.0	1.0	1.3	1.0	1.0	4.8	1.0	
30	2.3	1.0	1.0	1.3	1.0	1.0	4.8	1.0	
31	2.2	1.0	1.0	1.3	1.0	1.0	4.7	1.0	
32	2.2	1.0	1.0	1.3	1.0	1.0	5.0	1.0	
33	2.1	1.0	1.0	1.3	1.0	1.0	4.9	1.0	
34	2.0	1.0	1.0	1.3	1.0	1.0	4.9	1.0	
35	2.0	1.0	1.0	1.3	1.0	1.0	5.0	1.0	
36	2.0	1.0	1.0	1.3	1.0	1.0	4.9	1.0	
37	2.0	1.0	1.0	1.3	1.0	1.0	4.8	1.0	
38	2.0	1.0	1.0	1.3	1.0	1.0	4.8	1.0	
39	2.0	1.0	1.0	1.3	1.0	1.0	4.8	1.0	
40	1.9	1.0	1.0	1.3	1.0	1.0	4.8	1.0	
41	1.9	1.0	1.0	1.3	1.0	1.0	4.7	1.0	
42	1.8	1.0	1.0	1.3	1.0	1.0	5.0	1.0	
43	1.7	1.0	1.0	1.3	1.0	1.0	5.0	1.0	
44	2.7	1.0	1.0	1.3	1.0	1.0	4.9	1.0	
45	2.7	1.0	1.0	1.3	1.0	1.0	4.8	1.0	
46	2.6	1.0	1.0	1.3	1.0	1.0	5.0	1.0	
47	2.6	1.0	1.0	1.3	1.0	1.0	5.0	1.0	
48	2.6	1.0	1.0	1.3	1.0	1.0	4.9	1.0	
49	2.6	1.0	1.0	1.3	1.0	1.0	4.9	1.0	
50	2.6	1.0	1.0	1.3	1.0	1.0	4.8	1.0	
51	2.5	1.0	1.0	1.3	1.0	1.0	5.0	1.0	
52	2.4	1.0	1.0	1.3	1.0	1.0	5.0	1.0	
53	2.3	1.0	1.0	1.3	1.0	1.0	5.0	1.0	
54	2.2	1.0	1.0	1.3	1.0	1.0	5.0	1.0	
55	2.2	1.0	1.0	1.3	1.0	1.0	4.9	1.0	
56	2.2	1.0	1.0	1.3	1.0	1.0	5.0	1.0	
57	2.2	1.0	1.0	1.3	1.0	1.0	5.0	1.0	
58	2.2	1.0	1.0	1.3	1.0	1.0	5.0	1.0	
59	2.2	1.0	1.0	1.3	1.0	1.0	4.9	1.0	
60	2.2	1.0	1.0	1.3	1.0	1.0	4.8	1.0	
61	2.1	1.0	1.0	1.3	1.0	1.0	5.0	1.0	
62	2.0	1.0	1.0	1.3	1.0	1.0	5.0	1.0	
63	3.0	1.0	1.0	1.3	1.0	1.0	5.0	1.0	
64	2.9	1.0	1.0	1.3	1.0	1.0	4.9	1.0	
65	2.8	1.0	1.0	1.3	1.0	1.0	4.9	1.0	
66	2.8	1.0	1.0	1.3	1.0	1.0	4.8	1.0	
67	2.8	1.0	1.0	1.3	1.0	1.0	5.0	1.0	
68	2.8	1.0	1.0	1.3	1.0	1.0	5.0	1.0	
69	2.8	1.0	1.0	1.3	1.0	1.0	4.9	1.0	
70	2.8	1.0	1.0	1.3	1.0	1.0	5.0	1.0	
71	2.7	1.0	1.0	1.3	1.0	1.0	5.0	1.0	
72	2.6	1.0	1.0	1.3	1.0	1.0	4.9	1.0	
73	2.5	1.0	1.0	1.3	1.0	1.0	4.9	1.0	
74	2.5	1.0	1.0	1.3	1.0	1.0	4.9	1.0	
75	2.4	1.0	1.0	1.3	1.0	1.0	4.9	1.0	
76	2.4	1.0	1.0	1.3	1.0	1.0	4.9	1.0	
77	2.4	1.0	1.0	1.3	1.0	1.0	4.8	1.0	
78	2.4	1.0	1.0	1.3	1.0	1.0	5.0	1.0	
79	2.4	1.0	1.0	1.3	1.0	1.0	4.9	1.0	
80	2.4	1.0	1.0	1.3	1.0	1.0	4.9	1.0	
81	3.4	1.0	1.0	1.3	1.0	1.0	4.9	1.0	
82	3.4	1.0	1.0	1.3	1.0	1.0	4.8	1.0	
83	3.4	1.0	1.0	1.3	1.0	1.0	4.8	1.0	
84	3.3	1.0	1.0	1.3	1.0	1.0	4.8	1.0	
85	3.3	1.0	1.0	1.3	1.0	1.0	4.8	1.0	
86	3.2	1.0	1.0	1.3	1.0	1.0	4.8	1.0	
87	3.2	1.0	1.0	1.3	1.0	1.0	4.8	1.0	
88	3.2	1.0	1.0	1.3	1.0	1.0	4.7	1.0	
89	3.1	1.0	1.0	1.3	1.0	1.0	5.0	1.0	
90	3.1	1.0	1.0	1.3	1.0	1.0	5.0	1.0	
91	3.0	1.0	1.0	1.3	1.0	1.0	4.9	1.0	
92	3.0	1.0	1.0	1.3	1.0	1.0	4.9	1.0	
93	3.0	1.0	1.0	1.3	1.0	1.0	4.8	1.0	
94	2.9	1.0	1.0	1.3	1.0	1.0	4.8	1.0	
95	2.9	1.0	1.0	1.3	1.0	1.0	4.8	1.0	
