STEP	C1	C2	C3	C4	C5	C6	C7	C8	
1	2.3	1.3	1.2	1.2	1.3	1.2	1.3	1.3	
2	2.3	1.3	1.2	1.2	1.2	1.2	1.2	1.2	
3	2.2	1.3	1.2	1.2	1.2	1.2	1.2	1.2	
4	2.2	1.3	1.2	1.2	1.2	1.2	1.2	1.2	
5	3.2	1.3	1.1	1.1	1.1	1.1	1.1	1.1	
6	3.2	1.3	1.1	1.1	1.1	1.1	1.1	1.1	
7	3.1	1.3	1.1	1.1	1.1	1.1	1.1	1.1	
8	3.1	1.3	1.1	1.1	1.1	1.1	1.1	1.1	
9	4.1	1.3	1.0	1.0	1.1	1.1	1.1	1.1	
10	4.1	1.3	1.0	1.0	1.1	1.1	1.1	1.1	
11	4.0	1.3	1.0	1.0	1.0	1.0	1.0	1.0	
12	3.9	1.3	1.0	1.0	1.0	1.0	1.0	1.0	
13	4.9	1.3	1.0	1.0	0.9	1.0	1.0	0.9	
14	4.9	1.3	1.0	1.0	0.9	1.0	1.0	0.9	
15	4.9	1.3	1.0	1.0	0.9	2.0	1.0	0.9	
16	4.8	1.3	1.0	1.0	0.9	1.9	1.0	0.9	
17	5.0	1.3	1.0	1.0	0.9	1.8	1.0	0.9	
18	4.9	1.3	1.0	1.0	0.9	1.8	1.0	0.9	
19	4.9	1.3	1.0	1.0	0.9	1.8	1.0	0.9	
20	4.8	1.3	1.0	1.0	0.9	1.7	1.0	0.9	
21	5.0	1.3	1.0	1.0	0.9	1.7	1.0	0.9	
22	5.0	1.3	1.0	1.0	0.9	1.7	1.0	0.9	
23	5.0	1.3	1.0	1.0	0.9	1.7	1.0	0.9	
24	4.9	1.3	1.0	1.0	0.9	1.6	1.0	0.9	
25	5.0	1.3	1.0	1.0	0.9	1.5	1.0	0.9	
26	5.0	1.3	1.0	1.0	0.9	1.5	1.0	0.9	
27	5.0	1.3	1.0	1.0	0.9	1.5	1.0	0.9	
28	4.9	1.3	1.0	1.0	0.9	1.4	1.0	0.9	
29	5.0	1.3	1.0	1.0	0.9	1.4	1.0	0.9	
30	5.0	1.3	1.0	1.0	0.9	1.4	1.0	0.9	
31	4.9	1.3	1.0	1.0	0.9	1.4	1.0	0.9	
32	4.8	1.3	1.0	1.0	0.9	1.3	1.0	0.9	
33	5.0	1.3	1.0	1.0	0.9	1.3	1.0	0.9	
34	5.0	1.3	1.0	1.0	0.9	2.3	1.0	0.9	
35	5.0	1.3	1.0	1.0	0.9	2.3	1.0	0.9	
36	4.8	1.3	1.0	1.0	0.9	2.1	1.0	0.9	
37	4.8	1.3	1.0	1.0	0.9	2.1	1.0	0.9	
38	5.0	1.3	1.0	1.0	0.9	2.1	1.0	0.9	
39	5.0	1.3	1.0	1.0	0.9	2.1	1.0	0.9	
40	4.9	1.3	1.0	1.0	0.9	2.0	1.0	0.9	
41	4.9	1.3	1.0	1.0	0.9	2.0	1.0	0.9	
42	5.0	1.3	1.0	1.0	0.9	2.0	1.0	0.9	
43	5.0	1.3	1.0	1.0	0.9	2.0	1.0	0.9	
44	4.9	1.3	1.0	1.0	0.9	1.9	1.0	0.9	
45	4.9	1.3	1.0	1.0	0.9	1.9	1.0	0.9	
46	5.0	1.3	1.0	1.0	0.9	1.9	1.0	0.9	
47	5.0	1.3	1.0	1.0	0.9	1.9	1.0	0.9	
48	4.9	1.3	1.0	1.0	0.9	1.8	1.0	0.9	
49	4.9	1.3	1.0	1.0	0.9	1.8	1.0	0.9	
50	4.9	1.3	1.0	1.0	0.9	1.8	1.0	0.9	
51	4.9	1.3	1.0	1.0	0.9	1.8	1.0	0.9	
52	4.8	1.3	1.0	1.0	0.9	1.7	1.0	0.9	
53	4.8	1.3	1.0	1.0	0.9	2.7	1.0	0.9	
54	5.0	1.3	1.0	1.0	0.9	2.7	1.0	0.9	
55	5.0	1.3	1.0	1.0	0.9	2.6	1.0	0.9	
56	4.9	1.3	1.0	1.0	0.9	2.5	1.0	0.9	
57	4.8	1.3	1.0	1.0	0.9	2.5	1.0	0.9	
58	5.0	1.3	1.0	1.0	0.9	2.5	1.0	0.9	
59	5.0	1.3	1.0	1.0	0.9	2.5	1.0	0.9	
60	5.0	1.3	1.0	1.0	0.9	2.5	1.0	0.9	
61	4.9	1.3	1.0	1.0	0.9	2.4	1.0	0.9	
62	5.0	1.3	1.0	1.0	0.9	2.4	1.0	0.9	
63	5.0	1.3	1.0	1.0	0.9	2.3	1.0	0.9	
64	5.0	1.3	1.0	1.0	0.9	2.3	1.0	0.9	
65	4.9	1.3	1.0	1.0	0.9	2.2	1.0	0.9	
66	5.0	1.3	1.0	1.0	0.9	2.2	1.0	0.9	
67	5.0	1.3	1.0	1.0	0.9	2.2	1.0	0.9	
68	5.0	1.3	1.0	1.0	0.9	2.2	1.0	0.9	
69	4.9	1.3	1.0	1.0	0.9	2.1	1.0	0.9	
70	5.0	1.3	1.0	1.0	0.9	2.1	1.0	0.9	
71	5.0	1.3	1.0	1.0	0.9	2.1	1.0	0.9	
72	5.0	1.3	1.0	1.0	0.9	3.1	1.0	0.9	
73	4.9	1.3	1.0	1.0	0.9	3.0	1.0	0.9	
74	5.0	1.3	1.0	1.0	0.9	2.9	1.0	0.9	
75	4.9	1.3	1.0	1.0	0.9	2.9	1.0	0.9	
76	4.9	1.3	1.0	1.0	0.9	2.9	1.0	0.9	
77	4.8	1.3	1.0	1.0	0.9	2.8	1.0	0.9	
78	5.0	1.3	1.0	1.0	0.9	2.8	1.0	0.9	
79	5.0	1.3	1.0	1.0	0.9	2.8	1.0	0.9	
80	5.0	1.3	1.0	1.0	0.9	2.8	1.0	0.9	
81	4.9	1.3	1.0	1.0	0.9	2.7	1.0	0.9	
82	5.0	1.3	1.0	1.0	0.9	2.6	1.0	0.9	
83	5.0	1.3	1.0	1.0	0.9	2.6	1.0	0.9	
84	5.0	1.3	1.0	1.0	0.9	2.6	1.0	0.9	
85	4.9	1.3	1.0	1.0	0.9	2.5	1.0	0.9	
86	5.0	1.3	1.0	1.0	0.9	2.5	1.0	0.9	
87	5.0	1.3	1.0	1.0	0.9	2.5	1.0	0.9	
88	4.9	1.3	1.0	1.0	0.9	2.5	1.0	0.9	
89	4.8	1.3	1.0	1.0	0.9	2.4	1.0	0.9	
90	5.0	1.3	1.0	1.0	0.9	2.4	1.0	0.9	
91	5.0	1.3	1.0	1.0	0.9	3.4	1.0	0.9	
92	5.0	1.3	1.0	1.0	0.9	3.4	1.0	0.9	
93	4.9	1.3	1.0	1.0	0.9	3.2	1.0	0.9	
94	5.0	1.3	1.0	1.0	0.9	3.2	1.0	0.9	
95	5.0	1.3	1.0	1.0	0.9	3.2	1.0	0.9	
96	5.0	1.3	1.0	1.0	0.9	3.2	1.0	0.9	
97	4.9	1.3	1.0	1.0	0.9	3.1	1.0	0.9	
98	5.0	1.3	1.0	1.0	0.9	3.1	1.0	0.9	
99	5.0	1.3	1.0	1.0	0.9	3.1	1.0	0.9	
100	5.0	1.3	1.0	1.0	0.9	3.1	1.0	0.9	
101	4.9	1.3	1.0	1.0	0.9	3.0	1.0	0.9	
102	5.0	1.3	1.0	1.0	0.8	3.0	0.9	0.8	
103	5.0	1.3	1.0	1.0	0.8	2.9	0.9	0.8	
104	5.0	1.3	1.0	1.0	0.8	2.9	0.9	0.8	
105	4.9	1.3	1.0	1.0	0.8	2.9	0.9	0.8	
106	4.9	1.3	1.0	1.0	0.8	2.9	0.9	0.8	
107	4.8	1.3	1.0	1.0	0.8	2.9	0.9	0.8	
108	4.8	1.3	1.0	1.0	0.8	2.9	0.9	0.8	
109	4.7	1.3	1.0	1.0	0.8	2.8	0.9	0.8	
110	4.7	1.3	1.0	1.0	0.8	3.8	0.9	0.8	
111	5.0	1.3	1.0	1.0	0.8	3.8	0.9	0.8	
112	4.9	1.3	1.0	1.0	0.8	3.7	0.9	0.8	
113	4.8	1.3	1.0	1.0	0.8	3.6	0.9	0.8	
114	4.8	1.3	1.0	1.0	0.8	3.6	0.9	0.8	
115	5.0	1.3	1.0	1.0	0.8	3.6	0.9	0.8	
116	5.0	1.3	1.0	1.0	0.8	3.6	0.9	0.8	
117	4.9	1.3	1.0	1.0	0.8	3.5	0.9	0.8	
118	4.9	1.3	1.0	1.0	0.8	3.5	0.9	0.8	
119	5.0	1.3	1.0	1.0	0.8	3.5	0.9	0.8	
120	5.0	1.3	1.0	1.0	0.8	3.4	0.9	0.8	
121	4.9	1.3	1.0	1.0	0.8	3.3	0.9	0.8	
122	4.9	1.3	1.0	1.0	0.8	3.3	0.9	0.8	
123	5.0	1.3	1.0	1.0	0.8	3.3	0.9	0.8	
124	5.0	1.3	1.0	1.0	0.8	3.3	0.9	0.8	
125	4.9	1.3	1.0	1.0	0.8	3.2	0.9	0.8	
126	4.8	1.3	1.0	1.0	0.8	3.2	0.9	0.8	
127	5.0	1.3	1.0	1.0	0.8	3.2	0.9	0.8	
128	5.0	1.3	1.0	1.0	0.8	3.2	0.9	0.8	
129	4.9	1.3	1.0	1.0	0.8	4.1	0.9	0.8	
130	4.9	1.3	1.0	1.0	0.8	4.1	0.9	0.8	
131	4.9	1.3	1.0	1.0	0.8	4.0	0.9	0.8	
132	4.9	1.3	1.0	1.0	0.8	4.0	0.9	0.8	
133	4.8	1.3	1.0	1.0	0.8	3.9	0.9	0.8	
134	4.8	1.3	1.0	1.0	0.8	3.9	0.9	0.8	
135	5.0	1.3	1.0	1.0	0.8	3.9	0.9	0.8	
136	5.0	1.3	1.0	1.0	0.8	3.9	0.9	0.8	
137	4.9	1.3	1.0	1.0	0.8	3.8	0.9	0.8	
138	4.9	1.3	1.0	1.0	0.8	3.7	0.9	0.8	
139	5.0	1.3	1.0	1.0	0.8	3.7	0.9	0.8	
140	5.0	1.3	1.0	1.0	0.8	3.7	0.9	0.8	
141	4.9	1.3	1.0	1.0	0.8	3.6	0.9	0.8	
142	4.9	1.3	1.0	1.0	0.8	3.6	0.9	0.8	
143	5.0	1.3	1.0	1.0	0.8	3.6	0.9	0.8	
144	4.9	1.3	1.0	1.0	0.8	3.6	0.9	0.8	
145	4.8	1.3	1.0	1.0	0.8	3.5	0.9	0.8	
146	4.8	1.3	1.0	1.0	0.8	3.5	0.9	0.8	
147	5.0	1.3	1.0	1.0	0.8	3.5	0.9	0.8	
148	5.0	1.3	1.0	1.0	0.8	4.5	0.9	0.8	
149	4.9	1.3	1.0	1.0	0.8	4.4	0.9	0.8	
150	4.8	1.3	1.0	1.0	0.8	4.3	0.9	0.8	
151	5.0	1.3	1.0	1.0	0.8	4.3	0.9	0.8	
152	5.0	1.3	1.0	1.0	0.8	4.3	0.9	0.8	
153	4.9	1.3	1.0	1.0	0.8	4.2	0.9	0.8	
154	4.9	1.3	1.0	1.0	0.8	4.2	0.9	0.8	
155	5.0	1.3	0.9	0.9	0.8	4.2	0.9	0.8	
156	5.0	1.3	0.9	0.9	0.8	4.2	0.9	0.8	
157	5.0	1.3	0.9	0.9	0.8	4.1	0.9	0.8	
158	4.9	1.3	0.9	0.9	0.8	4.1	0.9	0.8	
159	5.0	1.3	0.9	0.9	0.8	4.1	0.9	0.8	
160	5.0	1.3	0.9	0.9	0.8	4.1	0.9	0.8	
161	5.0	1.3	0.9	0.9	0.8	4.0	0.9	0.8	
162	4.9	1.3	0.9	0.9	0.8	4.0	0.9	0.8	
163	4.8	1.3	0.9	0.9	0.8	4.0	0.9	0.8	
164	4.8	1.3	0.9	0.9	0.8	4.0	0.9	0.8	
165	4.8	1.3	0.9	0.9	0.8	3.9	0.9	0.8	
166	4.7	1.3	0.9	0.9	0.8	4.9	0.9	0.8	
