STEP	C1	C2	C3	C4	C5	C6	C7	C8	
1	1.2	1.2	1.2	1.2	2.3	1.2	1.2	1.3	
2	1.2	1.2	1.2	1.2	2.3	1.2	1.2	1.3	
3	1.2	1.2	1.2	1.2	2.2	1.2	1.2	1.3	
4	1.2	1.2	1.2	1.2	2.2	1.2	1.2	1.3	
5	1.2	1.2	1.2	1.2	2.2	1.2	1.2	1.3	
6	1.2	1.2	1.2	1.1	2.2	1.2	2.2	1.3	
7	1.2	1.2	1.2	1.1	2.1	1.2	2.1	1.3	
8	1.1	1.2	1.2	1.1	2.1	1.2	2.1	1.3	
9	1.1	1.2	1.2	1.1	2.1	1.2	2.1	1.3	
10	1.1	1.1	2.2	1.1	2.0	2.1	2.1	1.3	
11	1.1	1.1	2.2	1.1	2.0	2.1	2.1	1.3	
12	1.1	1.1	2.2	1.0	2.0	2.1	3.1	1.3	
13	1.0	1.1	2.2	1.0	2.0	2.1	3.0	1.3	
14	1.0	1.1	2.2	1.0	2.0	2.1	3.0	1.3	
15	1.0	1.1	2.1	1.0	2.0	2.1	3.0	1.3	
16	1.0	2.1	2.1	1.0	2.0	2.0	3.0	1.3	
17	1.0	2.1	2.1	1.0	1.9	2.0	4.0	1.3	
18	1.0	2.0	3.1	1.0	1.9	2.0	3.9	1.3	
19	1.0	2.0	3.0	1.0	2.9	1.9	3.8	1.3	
20	1.0	2.0	3.0	1.0	2.9	1.9	3.8	1.3	
21	1.0	1.8	3.9	1.0	2.8	1.9	3.8	1.3	
22	1.0	1.8	3.9	1.0	2.8	1.9	3.8	1.3	
23	1.0	1.8	3.9	1.0	2.8	1.9	3.8	1.3	
24	1.0	1.8	3.9	1.0	2.8	1.9	3.8	1.3	
25	1.0	1.8	3.9	1.0	2.8	1.9	3.8	1.3	
26	1.0	1.8	3.8	1.0	2.8	1.8	3.8	1.3	
27	1.0	1.8	3.8	1.0	2.8	1.8	3.8	1.3	
28	1.0	1.8	3.8	1.0	2.7	1.8	4.8	1.3	
29	1.0	1.8	3.8	1.0	2.6	2.8	4.7	1.3	
30	1.0	1.8	3.8	1.0	2.6	2.8	4.7	1.3	
31	1.0	1.8	4.8	1.0	2.6	2.8	5.0	1.3	
32	1.0	1.7	4.8	1.0	2.6	2.8	4.9	1.3	
33	1.0	1.7	4.8	1.0	2.6	2.8	4.9	1.3	
34	1.0	2.7	4.8	1.0	2.6	2.7	4.9	1.3	
35	1.0	2.7	4.8	1.0	2.6	2.7	4.9	1.3	
36	1.0	2.6	5.0	1.0	2.6	2.7	4.9	1.3	
37	1.0	2.6	4.9	1.0	2.6	2.6	4.9	1.3	
38	1.0	2.6	4.9	1.0	3.6	2.5	4.9	1.3	
39	1.0	2.6	4.8	1.0	3.5	2.5	5.0	1.3	
40	1.0	2.6	4.8	1.0	3.4	2.5	4.9	1.3	
41	1.0	2.6	4.8	1.0	3.4	2.5	4.9	1.3	
42	1.0	2.5	5.0	1.0	3.4	2.5	4.9	1.3	
43	1.0	2.5	5.0	1.0	3.4	2.5	4.9	1.3	
44	1.0	2.4	4.9	1.0	3.4	2.5	4.9	1.3	
45	1.0	2.4	4.9	1.0	3.4	2.5	4.9	1.3	
46	1.0	2.4	4.9	1.0	3.4	2.5	4.9	1.3	
47	1.0	2.4	4.9	1.0	3.4	2.5	4.9	1.3	
48	1.0	2.4	4.8	1.0	3.3	3.4	4.9	1.3	
49	1.0	2.4	4.8	1.0	3.3	3.4	4.9	1.3	
50	1.0	2.4	4.8	1.0	3.2	3.4	5.0	1.3	
51	1.0	2.4	4.8	1.0	3.2	3.4	5.0	1.3	
52	1.0	2.4	4.8	1.0	3.2	3.4	4.9	1.3	
53	1.0	2.3	5.0	1.0	3.2	3.4	4.9	1.3	
54	1.0	3.3	5.0	1.0	3.2	3.3	4.9	1.3	
55	1.0	3.3	5.0	1.0	3.2	3.3	4.9	1.3	
56	1.0	3.2	5.0	1.0	3.2	3.3	4.9	1.3	
57	1.0	3.2	4.9	1.0	4.2	3.2	4.8	1.3	
58	1.0	3.2	4.9	1.0	4.2	3.2	4.8	1.3	
59	1.0	3.2	4.8	1.0	4.2	3.1	4.8	1.3	
60	1.0	3.2	4.8	1.0	4.1	3.1	4.8	1.3	
61	1.0	3.2	4.8	1.0	4.0	3.1	5.0	1.3	
62	1.0	3.2	4.8	1.0	4.0	3.1	4.9	1.3	
63	1.0	3.1	4.7	1.0	4.0	3.1	4.9	1.3	
64	1.0	3.0	5.0	1.0	4.0	3.1	4.9	1.3	
65	1.0	3.0	5.0	1.0	4.0	3.1	4.9	1.3	
66	1.0	3.0	5.0	1.0	4.0	3.1	4.9	1.3	
67	1.0	3.0	5.0	1.0	3.9	4.1	4.9	1.3	
68	1.0	3.0	5.0	1.0	3.9	4.1	4.9	1.3	
69	1.0	3.0	5.0	1.0	3.9	4.1	5.0	1.3	
70	1.0	3.0	4.9	1.0	3.9	4.0	5.0	1.3	
71	1.0	3.0	4.9	1.0	3.9	4.0	5.0	1.3	
72	1.0	3.0	4.9	1.0	3.8	4.0	5.0	1.3	
73	1.0	4.0	4.9	1.0	3.8	3.9	4.9	1.3	
74	1.0	4.0	4.9	1.0	3.8	3.9	4.9	1.3	
75	1.0	3.8	5.0	1.0	3.8	3.9	4.9	1.3	
76	1.0	3.8	5.0	1.0	4.8	3.8	4.9	1.3	
77	1.0	3.8	4.9	1.0	4.8	3.8	4.8	1.3	
78	1.0	3.8	4.9	1.0	4.8	3.8	4.8	1.3	
79	1.0	3.8	4.9	1.0	4.7	3.8	4.8	1.3	
80	1.0	3.8	4.9	1.0	4.7	3.7	4.8	1.3	
81	1.0	3.8	4.8	1.0	4.7	3.7	4.8	1.3	
82	1.0	3.7	4.7	1.0	4.7	3.7	5.0	1.3	
83	1.0	3.7	4.7	1.0	4.6	3.7	5.0	1.3	
84	1.0	3.7	4.7	1.0	4.6	3.7	4.9	1.3	
85	1.0	3.7	4.7	1.0	4.6	3.7	4.9	1.3	
86	1.0	3.6	5.0	1.0	4.5	4.7	4.9	1.3	
87	1.0	3.6	5.0	1.0	4.5	4.7	4.9	1.3	
88	1.0	3.6	5.0	1.0	4.5	4.7	5.0	1.3	
89	1.0	3.6	5.0	1.0	4.5	4.7	5.0	1.3	
90	1.0	3.6	5.0	1.0	4.5	4.7	4.9	1.3	
91	1.0	4.6	4.9	1.0	4.5	4.5	4.9	1.3	
92	1.0	4.6	4.9	1.0	4.5	4.5	4.9	1.3	
93	1.0	4.6	5.0	1.0	4.4	4.5	5.0	1.3	
94	1.0	4.5	5.0	1.0	4.4	4.5	5.0	1.3	
95	1.0	4.5	4.9	1.0	5.0	4.4	4.8	1.3	
96	1.0	4.5	5.0	1.0	5.0	4.4	4.8	1.3	
97	1.0	4.4	5.0	1.0	4.9	4.4	4.8	1.3	
98	1.0	4.4	5.0	1.0	4.9	4.4	4.8	1.3	
99	1.0	4.4	5.0	1.0	4.9	4.4	4.8	1.3	
100	1.0	4.3	4.9	1.0	4.9	4.4	4.8	1.3	
101	1.0	4.3	4.9	1.0	4.9	4.4	4.8	1.3	
102	1.0	4.3	4.8	1.0	4.9	4.3	4.8	1.3	
103	1.0	4.3	4.8	1.0	4.9	4.3	4.8	1.3	
104	1.0	4.3	4.8	1.0	4.8	4.3	5.0	1.3	
105	1.0	4.3	4.8	1.0	4.7	5.0	5.0	1.3	
106	1.0	4.3	4.8	1.0	4.7	5.0	4.9	1.3	
107	1.0	4.2	5.0	0.9	4.7	5.0	5.0	1.3	
108	1.0	4.2	5.0	0.9	4.7	5.0	4.9	1.3	
109	0.9	4.2	5.0	0.9	4.7	5.0	4.9	1.3	
110	0.9	5.0	5.0	0.9	4.7	4.9	4.9	1.3	
111	0.9	5.0	5.0	0.9	4.7	4.9	4.9	1.3	
112	0.9	4.9	5.0	0.9	4.7	4.9	4.9	1.3	
113	0.9	4.9	4.9	0.9	4.7	4.8	4.9	1.3	
114	0.9	4.9	4.8	0.9	5.0	4.7	4.8	1.3	
115	0.9	4.9	4.8	0.9	4.9	4.7	5.0	1.3	
116	0.9	4.9	4.8	0.9	4.8	4.7	4.9	1.3	
117	0.9	4.9	4.8	0.9	4.8	4.7	4.9	1.3	
118	0.9	4.8	5.0	0.9	4.8	4.7	4.9	1.3	
119	0.9	4.7	4.9	0.9	4.8	4.7	4.9	1.3	
120	0.9	4.7	4.9	0.9	4.8	4.7	4.9	1.3	
121	0.9	4.7	4.9	0.9	4.8	4.7	4.9	1.3	
122	0.9	4.7	4.9	0.9	4.8	4.7	4.9	1.3	
123	0.9	4.7	4.9	0.9	4.8	4.7	4.9	1.3	
124	0.9	4.7	4.8	0.9	4.7	5.0	4.9	1.3	
125	0.9	4.7	4.8	0.9	4.7	5.0	5.0	1.3	
126	0.9	4.7	4.8	0.9	4.6	5.0	5.0	1.3	
127	0.9	4.7	4.8	0.9	4.6	5.0	4.8	1.3	
128	0.9	4.7	4.8	0.9	4.6	5.0	4.8	1.3	
