STEP	C1	C2	C3	C4	C5	C6	C7	C8	
1	2.2	1.2	1.3	2.3	1.2	1.1	1.1	1.1	
2	2.2	1.2	1.3	2.3	1.2	1.1	1.1	1.1	
3	2.1	1.2	1.3	2.2	1.2	1.1	1.1	1.1	
4	2.1	1.2	1.3	2.2	1.2	1.1	1.1	1.1	
5	2.1	1.2	1.3	2.2	1.2	1.1	1.1	1.1	
6	2.1	1.2	1.3	2.2	1.2	1.1	1.1	1.1	
7	2.1	1.2	1.3	2.2	1.2	1.1	1.1	1.1	
8	2.1	1.2	1.3	2.2	1.2	1.1	1.1	1.1	
9	2.1	1.2	1.3	2.2	1.2	1.1	1.1	1.1	
10	2.0	2.2	1.3	2.2	1.1	1.0	1.0	1.0	
11	2.0	2.2	1.3	2.2	1.1	1.0	1.0	1.0	
12	1.9	2.2	1.3	3.2	1.1	1.0	0.9	1.0	
13	1.9	2.2	1.3	3.1	1.0	1.0	0.9	0.9	
14	1.9	2.2	1.3	3.1	1.0	1.0	0.9	0.9	
15	1.9	2.1	1.3	3.1	1.0	0.9	0.9	0.9	
16	1.9	2.1	1.3	3.1	1.0	0.9	0.9	0.9	
17	1.9	2.0	1.3	3.1	1.0	0.9	0.9	0.9	
18	1.9	2.0	1.3	3.1	1.0	0.9	0.9	0.9	
19	1.9	2.0	1.3	3.1	1.0	0.9	0.9	0.9	
20	2.9	1.9	1.3	3.0	1.0	0.9	0.9	0.9	
21	2.9	1.9	1.3	3.0	1.0	0.9	0.9	0.9	
22	2.8	1.9	1.3	3.0	1.0	0.9	0.9	0.9	
23	2.7	1.9	1.3	4.0	1.0	0.9	0.9	0.9	
24	2.7	1.9	1.3	3.9	1.0	0.9	0.9	0.9	
25	2.7	1.9	1.3	3.9	1.0	0.9	0.9	0.9	
26	2.7	1.8	1.3	3.9	1.0	0.9	0.9	0.9	
27	2.7	1.8	1.3	3.9	1.0	0.9	0.9	0.9	
28	2.7	1.8	1.3	3.9	1.0	0.9	0.9	0.9	
29	2.6	2.8	1.3	3.9	1.0	0.9	0.9	0.9	
30	2.6	2.8	1.3	3.9	1.0	0.9	0.9	0.9	
31	2.6	2.8	1.3	4.9	1.0	0.9	0.9	0.9	
32	2.6	2.8	1.3	4.8	1.0	0.9	0.9	0.9	
33	2.5	2.8	1.3	5.0	1.0	0.9	0.9	0.9	
34	2.5	2.8	1.3	5.0	1.0	0.9	0.9	0.9	
35	2.5	2.8	1.3	4.9	1.0	0.9	0.9	0.9	
36	2.5	2.7	1.3	4.9	1.0	0.9	0.9	0.9	
37	2.5	2.6	1.3	4.9	1.0	0.9	0.9	0.9	
38	3.5	2.6	1.3	4.9	1.0	0.9	0.9	0.9	
39	3.5	2.5	1.3	4.8	1.0	0.9	0.9	0.9	
40	3.5	2.5	1.3	4.8	1.0	0.9	0.9	0.9	
41	3.4	2.5	1.3	4.8	1.0	0.9	0.9	0.9	
42	3.4	2.5	1.3	4.8	1.0	0.9	0.9	0.9	
43	3.4	2.5	1.3	4.8	1.0	0.9	0.9	0.9	
44	3.4	2.5	1.3	4.8	1.0	0.9	0.9	0.9	
45	3.3	2.5	1.3	5.0	1.0	0.9	0.9	0.9	
46	3.3	2.5	1.3	4.9	1.0	0.9	0.9	0.9	
47	3.3	2.5	1.3	4.9	1.0	0.9	0.9	0.9	
48	3.2	3.4	1.3	4.9	1.0	0.9	0.9	0.9	
49	3.2	3.4	1.3	4.9	1.0	0.9	0.9	0.9	
50	3.2	3.4	1.3	5.0	1.0	0.9	0.9	0.9	
51	3.2	3.4	1.3	4.9	1.0	0.9	0.9	0.9	
52	3.2	3.4	1.3	4.9	1.0	0.9	0.9	0.9	
53	3.2	3.4	1.3	4.9	1.0	0.9	0.9	0.9	
54	3.2	3.4	1.3	4.9	1.0	0.9	0.9	0.9	
55	3.1	3.3	1.3	5.0	1.0	0.9	0.9	0.9	
56	3.1	3.3	1.3	5.0	1.0	0.9	0.9	0.9	
57	4.1	3.2	1.3	4.8	1.0	0.9	0.9	0.9	
58	4.1	3.2	1.3	4.8	1.0	0.9	0.9	0.9	
59	4.1	3.1	1.3	4.8	1.0	0.9	0.9	0.9	
60	4.0	3.1	1.3	4.8	1.0	0.9	0.9	0.9	
61	4.0	3.1	1.3	4.8	1.0	0.9	0.9	0.9	
62	4.0	3.1	1.3	4.8	1.0	0.9	0.9	0.9	
63	4.0	3.1	1.3	4.8	1.0	0.9	0.9	0.9	
64	4.0	3.1	1.3	4.8	1.0	0.9	0.9	0.9	
65	4.0	3.1	1.3	4.8	1.0	0.9	0.9	0.9	
66	4.0	3.1	1.3	5.0	1.0	0.9	0.9	0.9	
67	3.8	4.1	1.3	5.0	1.0	0.9	0.9	0.9	
68	3.8	4.1	1.3	4.9	1.0	0.9	0.9	0.9	
69	3.8	4.1	1.3	5.0	1.0	0.9	0.9	0.9	
70	3.8	4.0	1.3	4.9	1.0	0.9	0.9	0.9	
71	3.8	4.0	1.3	4.9	1.0	0.9	0.9	0.9	
72	3.8	4.0	1.3	4.9	1.0	0.9	0.9	0.9	
73	3.8	3.9	1.3	4.9	1.0	0.9	0.9	0.9	
74	3.8	3.9	1.3	4.9	1.0	0.9	0.9	0.9	
75	3.8	3.9	1.3	4.9	1.0	0.9	0.9	0.9	
76	4.8	3.9	1.3	4.9	1.0	0.9	0.9	0.9	
77	4.7	3.8	1.3	5.0	1.0	0.9	0.9	0.9	
78	4.7	3.8	1.3	5.0	1.0	0.9	0.9	0.9	
79	4.6	3.8	1.3	4.9	1.0	0.9	0.9	0.9	
80	4.6	3.8	1.3	4.9	1.0	0.9	0.9	0.9	
81	4.6	3.7	1.3	4.9	1.0	0.9	0.9	0.9	
82	4.6	3.7	1.3	4.9	1.0	0.9	0.9	0.9	
83	4.6	3.7	1.3	4.9	1.0	0.9	0.9	0.9	
84	4.6	3.7	1.3	4.9	1.0	0.9	0.9	0.9	
85	4.6	3.7	1.3	4.9	1.0	0.9	0.9	0.9	
