STEP	C1	C2	C3	C4	C5	C6	C7	C8	
1	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	
2	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	
3	1.3	1.2	1.2	2.3	1.2	1.3	1.3	1.2	
4	1.1	1.1	1.1	2.2	1.1	1.1	1.3	2.2	
5	1.1	1.1	1.1	2.2	1.1	1.1	1.3	2.2	
6	1.0	1.0	1.0	2.1	2.1	1.0	1.3	2.1	
7	1.0	1.0	1.0	3.1	2.1	1.0	1.3	2.0	
8	1.0	1.0	1.0	3.1	2.0	1.0	1.3	2.0	
9	1.0	1.0	1.0	3.1	2.0	1.0	1.3	2.0	
10	1.0	1.0	1.0	3.0	1.9	1.0	1.3	1.9	
11	1.0	1.0	1.0	3.0	1.9	1.0	1.3	1.9	
12	1.0	1.0	1.0	3.0	1.9	1.0	1.3	1.9	
13	1.0	1.0	1.0	4.0	1.9	1.0	1.3	1.9	
14	1.0	1.0	1.0	4.0	1.9	1.0	1.3	1.9	
15	1.0	1.0	1.0	4.0	1.8	1.0	1.3	2.9	
16	1.0	1.0	1.0	4.0	1.8	1.0	1.3	2.9	
17	1.0	1.0	1.0	3.9	1.8	1.0	1.3	3.8	
18	1.0	1.0	1.0	4.8	1.8	1.0	1.3	3.8	
19	1.0	1.0	1.0	4.8	1.8	1.0	1.3	3.7	
20	1.0	1.0	1.0	4.8	1.8	1.0	1.3	3.7	
21	1.0	1.0	1.0	4.6	1.8	1.0	1.3	3.7	
22	1.0	1.0	1.0	5.0	1.8	1.0	1.3	3.7	
23	0.9	1.0	1.0	5.0	1.7	1.0	1.3	3.6	
24	0.9	1.0	0.9	5.0	1.6	1.0	1.3	3.5	
25	0.9	0.9	0.9	4.9	2.6	1.0	1.3	3.4	
26	0.9	0.9	0.9	4.9	2.5	1.0	1.3	4.4	
27	0.9	0.9	0.9	4.9	2.4	1.0	1.3	4.4	
28	0.9	0.9	0.9	4.8	2.4	1.0	1.3	4.3	
29	0.9	0.9	0.9	5.0	2.4	0.9	1.3	4.3	
30	0.9	0.9	0.9	5.0	2.4	0.9	1.3	4.3	
31	0.9	0.9	0.9	4.8	2.4	0.9	1.3	4.3	
32	0.9	0.9	0.9	5.0	2.3	0.9	1.3	4.2	
33	0.9	0.9	0.9	5.0	2.3	0.9	1.3	4.2	
34	0.9	0.9	0.9	5.0	2.2	0.9	1.3	4.2	
35	0.9	0.9	0.9	5.0	2.1	0.9	1.3	4.1	
36	0.9	0.9	0.9	4.9	2.1	0.9	1.3	5.0	
37	0.9	0.9	0.9	4.9	2.0	0.9	1.3	5.0	
38	0.9	0.9	0.9	4.9	2.0	0.9	1.3	4.9	
