STEP	C1	C2	C3	C4	
1	1.3	1.3	1.3	1.3	
2	1.3	3.3	1.1	1.1	
3	1.3	3.3	1.1	1.1	
4	1.3	3.1	1.1	1.1	
5	1.3	3.1	1.1	1.1	
6	1.3	3.1	1.1	1.1	
7	1.3	3.1	1.1	1.1	
8	1.3	3.1	1.1	1.1	
9	1.3	3.1	1.1	1.1	
10	1.3	3.1	1.1	1.1	
11	1.3	3.0	1.0	1.0	
12	1.3	4.0	0.9	0.9	
13	1.3	4.0	0.9	0.9	
14	1.3	3.9	0.9	0.9	
15	1.3	3.9	0.9	0.9	
16	1.3	3.9	0.9	0.9	
17	1.3	3.8	0.9	0.9	
18	1.3	3.8	0.9	0.9	
19	1.3	4.8	0.9	0.9	
20	1.3	4.8	0.9	0.9	
21	1.3	4.7	0.9	0.9	
22	1.3	5.0	0.9	0.9	
23	1.3	5.0	0.9	0.9	
24	1.3	5.0	0.9	0.9	
25	1.3	5.0	0.9	0.9	
26	1.3	4.9	0.9	0.9	
27	1.3	4.9	0.9	0.9	
28	1.3	4.9	0.9	0.9	
29	1.3	4.9	0.9	0.9	
30	1.3	4.9	0.9	0.9	
31	1.3	4.8	0.9	0.9	
32	1.3	5.0	0.9	0.9	
33	1.3	5.0	0.9	0.9	
34	1.3	4.8	0.9	0.9	
35	1.3	5.0	0.9	0.9	
36	1.3	5.0	0.9	0.9	
37	1.3	5.0	0.9	0.9	
38	1.3	5.0	0.9	0.9	
39	1.3	5.0	0.9	0.9	
40	1.3	4.9	0.9	0.9	
41	1.3	4.8	0.9	0.9	
42	1.3	5.0	0.9	0.9	
43	1.3	5.0	0.9	0.9	
44	1.3	4.9	0.9	0.9	
45	1.3	4.9	0.9	0.9	
46	1.3	4.9	0.9	0.9	
47	1.3	4.9	0.9	0.9	
48	1.3	4.9	0.9	0.9	
49	1.3	4.9	0.9	0.9	
50	1.3	4.8	0.9	0.9	
51	1.3	5.0	0.9	0.9	
52	1.3	5.0	0.9	0.9	
53	1.3	5.0	0.9	0.9	
54	1.3	4.9	0.9	0.9	
55	1.3	4.9	0.9	0.9	
56	1.3	4.9	0.9	0.9	
