STEP	C1	C2	C3	C4	
1	1.3	1.3	1.3	1.3	
2	1.3	1.3	1.3	1.3	
3	1.3	1.3	1.3	1.3	
4	1.3	1.3	1.3	1.3	
5	1.3	1.3	1.3	1.3	
6	1.3	1.3	1.3	1.3	
7	1.2	1.2	1.3	2.3	
8	1.2	1.2	1.3	3.3	
9	1.1	1.1	1.3	3.2	
10	1.1	1.1	1.3	3.2	
11	1.1	1.1	1.3	3.2	
12	1.1	1.1	1.3	3.2	
13	1.1	1.1	1.3	3.2	
14	1.1	1.1	1.3	3.1	
15	1.1	1.1	1.3	3.1	
16	1.0	1.0	1.3	3.0	
17	1.0	1.0	1.3	3.0	
18	1.0	1.0	1.3	3.0	
19	1.0	1.0	1.3	3.0	
20	1.0	1.0	1.3	3.0	
21	1.0	1.0	1.3	3.0	
22	1.0	1.0	1.3	3.0	
23	1.0	1.0	1.3	2.9	
24	1.0	1.0	1.3	3.9	
25	1.0	1.0	1.3	4.9	
26	1.0	1.0	1.3	4.9	
27	1.0	1.0	1.3	4.9	
28	1.0	1.0	1.3	4.9	
29	1.0	1.0	1.3	4.8	
30	1.0	1.0	1.3	4.7	
31	1.0	1.0	1.3	4.7	
32	1.0	1.0	1.3	4.7	
33	1.0	1.0	1.3	4.7	
34	1.0	1.0	1.3	4.7	
35	1.0	1.0	1.3	4.6	
36	1.0	1.0	1.3	4.6	
37	1.0	1.0	1.3	4.5	
38	1.0	1.0	1.3	4.5	
39	1.0	1.0	1.3	4.5	
40	1.0	1.0	1.3	5.0	
41	1.0	1.0	1.3	5.0	
42	1.0	1.0	1.3	4.9	
43	1.0	1.0	1.3	4.9	
44	1.0	1.0	1.3	4.9	
45	1.0	1.0	1.3	4.9	
46	1.0	1.0	1.3	4.9	
47	1.0	1.0	1.3	4.8	
48	1.0	1.0	1.3	4.7	
49	1.0	1.0	1.3	4.7	
50	1.0	1.0	1.3	4.6	
51	1.0	1.0	1.3	4.6	
52	1.0	1.0	1.3	4.6	
53	1.0	1.0	1.3	4.6	
54	1.0	1.0	1.3	4.6	
55	1.0	1.0	1.3	4.5	
56	1.0	1.0	1.3	5.0	
