STEP	C1	C2	C3	C4	
1	1.3	1.3	1.3	1.3	
2	1.3	1.3	1.3	1.3	
3	1.3	1.3	1.3	1.3	
4	1.3	1.3	1.3	1.3	
5	1.2	1.2	1.2	1.3	
6	1.2	1.2	1.2	1.3	
7	1.1	2.2	1.1	1.3	
8	1.1	2.2	1.1	1.3	
9	1.0	2.1	1.0	1.3	
10	1.0	2.1	1.0	1.3	
11	1.0	2.1	1.0	1.3	
12	1.0	2.1	1.0	1.3	
13	1.0	2.1	1.0	1.3	
14	0.9	3.1	0.9	1.3	
15	0.9	3.1	0.9	1.3	
16	0.9	3.0	0.9	1.3	
17	0.9	4.0	0.9	1.3	
18	0.9	4.0	0.9	1.3	
19	0.9	3.9	0.9	1.3	
20	0.9	3.9	0.9	1.3	
21	0.9	3.9	0.9	1.3	
22	0.9	3.9	0.9	1.3	
23	0.9	3.9	0.9	1.3	
24	0.9	3.9	0.9	1.3	
25	0.9	3.7	0.9	1.3	
26	0.9	3.7	0.9	1.3	
27	0.9	4.6	0.9	1.3	
28	0.9	4.6	0.9	1.3	
29	0.9	4.5	0.9	1.3	
30	0.9	5.0	0.9	1.3	
31	0.9	4.8	0.9	1.3	
32	0.9	4.8	0.9	1.3	
33	0.9	4.8	0.9	1.3	
34	0.9	4.8	0.9	1.3	
35	0.9	4.7	0.9	1.3	
36	0.9	4.7	0.9	1.3	
37	0.9	5.0	0.8	1.3	
38	0.8	5.0	0.8	1.3	
39	0.8	4.9	0.8	1.3	
40	0.8	4.9	0.8	1.3	
41	0.8	4.9	0.8	1.3	
42	0.8	4.8	0.8	1.3	
43	0.8	4.8	0.8	1.3	
44	0.8	4.8	0.8	1.3	
45	0.8	4.7	0.8	1.3	
46	0.8	4.7	0.8	1.3	
47	0.8	5.0	0.8	1.3	
48	0.8	4.8	0.8	1.3	
49	0.8	4.8	0.8	1.3	
50	0.8	5.0	0.8	1.3	
51	0.8	4.9	0.8	1.3	
52	0.8	4.9	0.8	1.3	
53	0.8	4.9	0.8	1.3	
54	0.8	4.9	0.8	1.3	
55	0.8	4.8	0.8	1.3	
56	0.8	4.8	0.8	1.3	
